Location	Mood	Type	Determiner	Preposition	Size	Ambience	Interactions	Props
public square	NEUT	Outside_Area	a	in	large	crowded, bustling, hectic, busy, lively, litter-strewn, noisy		
public swimming pool	NEUT	Building	a	in	large	windowless, spacious, polluted, damp, wet, humid, sticky, slippery		
race track	NEUT	Outside_Area	a	in	large	busy, bustling, crowded, energetic, loud, boisterous, noisy, 		
radio studio	NEUT	Building	a	in		cramped, claustrophobic, uncomfortable, windowless, airless, stuffy, sound-proofed		
recording studio	POS	Building	a	in		sophisticated, sound-proofed, windowless, airless, stuffy		
red carpet	POS	Outside_Area	the	on		glittering, glamorous, star-studded, crowded, boisterous, energetic, loud, flashy, stylish, chic, glossy, bustling		
restaurant kitchen	NEUT	Room	a	in		busy, noisy, hectic, cramped, frenetic, loud, humid, sweaty, steamy, lively, aromatic, 		
retirement home	NEUT	Building	a	in	large	sedate, quiet, tranquil, staid, serene, peaceful, boring, stuffy, antiquated, soothing, mellow, laidback, sleepy		
roadhouse bar	NEUT	Building	a	in		rowdy, raucous, loud, noisy, hectic, boisterous, rambunctious, fractious, smoky, sweaty, gritty, sticky, seedy, crowded		
roof garden	POS	Floor	a	in		peaceful, soothing, mellow, quiet, calming, serene, tranquil, idyllic, welcoming, relaxing, lofty, sunny, picturesque, lush,  charming, unspoiled		
safe house	POS	Building	a	in		secure, windowless, stuffy, confining, oppressive, concrete, claustrophobic, stifling		
sandy beach	POS	Outside_Area	a	on	large	sunny, windy, windswept, stony, dusty, salty, barren, sandy		
sauna	POS	Room	a	in		sweltering, hot, humid, damp, sweaty, sticky, slippery, steamy		
school canteen	NEUT	Building	a	in	large	greasy, unsophisticated, dreary, windowless, smell, noisy, hectic, cluttered, messy, smoky, smelly, busy, unpretentious, nondescript, dodgy, anonymous		
schoolbook depository building	NEUT	Building	a	in	large	quiet, orderly, impersonal, nondescript, featureless, bland, anonymous, faceless,  soulless, dour, tranquil		
sculpture garden	POS	Outside_Area	a	in		peaceful, soothing, mellow, quiet, calming, serene, tranquil, idyllic, welcoming, relaxing, airy, sunny, picturesque,  charming, unspoiled		
aquarium	POS	Building		in	large	wet, damp, humid, slippery, spacious, colourful, moody		
second-hand store	NEUT	Building	a	in		cluttered, disorganized, untidy, messy, crowded, hectic, eclectic, musty, dusty		
secret military base	NEUT	Compound	a	in	large	cluttered, disorganized, untidy, messy, eclectic, musty, dusty		
seedy bar	NEUT	Building	a	in		rowdy, raucous, loud, noisy, hectic, boisterous, rambunctious, fractious, smoky, sweaty, gritty, sticky, seedy, crowded, dark, tacky, gloomy		
alien cantina	NEUT	Building	a	in		rowdy, raucous, loud, noisy, hectic, boisterous, rambunctious, fractious, smoky, sweaty, gritty, sticky, seedy, crowded, dark, tacky, gloomy, weird, eclectic		
shoe shop	POS	Building	a	in		chic, bright, hip,  orderly, minimalist, fashionable, stylish,		
shooting range	NEUT	Outside_Area	a	in		loud, noisy, windowless, stuffy		
shopping mall	POS	Compound	a	in	large	bright, sleek, clean, tidy, organized, air-conditioned		
shower stall	NEUT	Room	a	in	small	wet, damp, humid, slippery, cramped, steamy, hot		
shrimping boat	NEUT	Building	a	in		creaky, smelly, jerky, salty, damp, wet, slippery, bumpy		
singles bar	POS	Building	a	in		atmospheric, stylish, cosy, welcoming, musical, intimate, classy, charming, moody, chic, smoky, relaxing, sultry		
ski lodge	POS	Building	a	in		pretentious, snooty, fashionable, chic, sophisticated, stylish, elegant, charming, minimalist, upscale, romantic, kitschy , flamboyant, cosmopolitan, smug		
smoke-filled back room	NEUT	Room	a	in		smoky, stale, sleazy, sordid, windowless, airless, 		
souk	NEUT	Compound	a	in	large	crowded, bustling, hectic, busy, cramped, dusty, eclectic, haphazard, motley, exotic, labyrinthine,		
sound stage	NEUT	Floor	a	in	large	spartan, spacious, busy, windowless, stuffy, comfortless,, drafty		
soup kitchen	NEG	Building	a	in	large	dreary, bleak, drab, grim, depressing, cheerless, dilapidated, understaffed, dismal, dull, smelly, warm		
spare room	NEUT	Room	a	in	small	cramped, cluttered, untidy, messy, 		
sports bar	NEUT	Building	a	in		rowdy, raucous, loud, noisy, hectic, boisterous, rambunctious, greasy, smoky, sweaty, sticky, energetic, crowded, cheerful		
sports stadium	POS	Building	a	in	large	packed, energetic, loud, noisy, crowded, raucous, sprawling		
squash court	NEUT	Room	a	in		windowless, sweaty, springy, featureless		
State capitol building	POS	Building	the	in	large	distinctive,  ornate, imposing, stately, ornate, spacious, plush, dignified, polished, solemn, monolithic, handsome, baroque, durable		
stock exchange	NEUT	Building	the	in	large	busy, bustling, crowded, energetic, loud, boisterous, noisy, 		
study room	NEUT	Room	a	in		quiet, boring, tranquil, hushed		
sushi restaurant	NEUT	Building	a	in		loud, busy, bright, cosmopolitan, clinical, hygienic		
swamp	NEG	Outside_Area	a	in	large	wet, damp, humid, slippery, murky, steamy, hot, dank, smelly, sticky, lush, muggy, sweltering, eerie, 		
sweatshop	NEG	Building	a	in		sweaty, busy, oppressive, cramped, cluttered, confining, windowless, airless, stuffy		
sweaty nightclub	POS	Building	a	in		raunchy, sultry, flashy, cosmopolitan, chic, crowded, packed, noisy, loud, bustling, energetic, intimate		
Swiss bank	POS	Building	a	in		marbled, grand, formal, exclusive, bright, understated, ornate,  plush, swanky, orderly, 		
symphony hall	POS	Building	a	in	large	crowded, bustling, grand, musical, imposing, spacious, dignified, baroque, ornate		
tea shop	POS	Building	a	in		rustic, quaint, staid, cosy, welcoming, inviting,  twee, tranquil, peaceful, relaxing, mellow		
technology campus	POS	Compound	a	in	large	vibrant, modern, busy, funky, crowded, exuberant, flamboyant, nerdy, geeky, sleek, streamlined, bright		
telephone box	NEG	Room	a	in	small	cramped, claustrophobic, narrow, airless, stuffy, sound-proofed, leaky, unheated		
television studio	NEUT	Building	a	in	large	sophisticated, sound-proofed, busy, 		
tenement building	NEG	Building	a	in		forlorn, musty, crumbling, grim, drafty, damp, dusty, comfortless, dreary, depressing, faded, decrepit, dilapidated, weathered		
tennis club	NEUT	Building	a	in	large	bright, clean, tidy, organized, air-conditioned, cheery, smug, exclusive		
tennis court	POS	Floor	a	in		springy, airy, spacious, featureless		
tent	NEUT	Building	a	in	small	cramped, claustrophobic, cluttered, windowless, stuffy, unheated, drafty		
theatre stage	POS	Floor	a	in		elevated, spacious, drafty, springy		
therapist's office	NEUT	Room	a	in		tranquil, serene, comfortable, welcoming, relaxing, calming, air-conditioned		
think tank	POS	Building	a	in		formal, polished, marbled, bright, busy		
throne room	POS	Room	a	in	large	luxurious, elegant, lush, stylish, opulent, grandiose, ornate, decadent, romantic, plush, comfortable, polished, glamorous, lavish		
torture chamber	NEG	Room	a	in		intimidating, eerie, bloody, gory, uninviting, unwelcoming, spartan, claustrophobic, sinister, windowless, dank, smelly, humid, 		
toy store	POS	Building	a	in		inviting, alluring, nostalgic, welcoming, colourful, bright, eclectic, whimsical, cute, appealing, cheerful, psychedelic		
trailer park	NEG	Compound	a	in	large	shabby, dirty, messy,  dilapidated, dumpy, dreary, ramshackle, decrepit, crowded, dank, dusty, squalid, depressing, smelly, cluttered, dismal, carefree, scruffy, smoky, laidback, litter-strewn		
travel agency	POS	Building	a	in		bright, tidy, organized, upbeat		
treasury room	POS	Room	a	in		marbled, grand, formal, exclusive, ornate,  plush,  orderly, 		
Tribeca loft	POS	Floor	a	in		chic, bright, hip,  orderly, minimalist, fashionable, stylish,		
UN general assembly	NEUT	Building	the	in	large	hectic, busy, bustling, lively, stimulating, boring, pretentious, spirited, volatile		
underground bunker	NEG	Building	an	in	large	concrete, drab, unwelcoming, windowless, sombre, dreary, oppressive, dim, stuffy, cramped		
underground lair	NEG	Building	an	in	large	ornate, windowless, air-conditioned, sound-proofed, orderly, busy, marbled, 		
vegetable garden	NEUT	Outside_Area	a	in		muddy, airy, lush, leafy, aromatic		
voting booth	NEUT	Room	a	in	small	cramped, claustrophobic, windowless, narrow, dim		
walk-in refrigerator	NEUT	Room	a	in	small	chilly, sterile, cold, freezing, frosty, icy, frigid, 		
walk-in closet	NEUT	Room	a	in	small	cramped, cluttered, untidy, messy, windowless		
war room	NEG	Room	a	in		formal, intense,  intimidating, windowless, stuffy, officious, clubby, staid, conservative, dull, stodgy, dignified, 		
war zone	NEG	Outside_Area	a	in	large	chaotic,  gory, harsh, bloody, disorderly, depressing, dreary, hectic, noisy, intense, bleak, scary, litter-strewn, smoldering, hellish		
Watergate hotel	NEUT	Building	the	in	large	clubby, staid, conservative, dull, stodgy, dignified, 		
wine bar	POS	Building	a	in		atmospheric, stylish, cosy, welcoming, intimate, classy, charming, chic, relaxing, sultry		
yoga studio	POS	Floor	a	in		relaxing, soothing, mellow, sweaty		
zoo	POS	Compound	a	in	large	loud, noisy, confining, crowded, eclectic, smelly		
